mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_n_estimators,param_max_depth,param_criterion,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.2650598049163818,0.06537712981624098,0.027484989166259764,0.010503492092369298,10,5,entropy,"{'n_estimators': 10, 'max_depth': 5, 'criterion': 'entropy'}",0.7314285714285714,0.72,0.7442857142857143,0.7271428571428571,0.7442857142857143,0.7334285714285713,0.009587406706035759,5
1.5325103759765626,0.36046540392583193,0.06470313072204589,0.03651970860290149,100,5,gini,"{'n_estimators': 100, 'max_depth': 5, 'criterion': 'gini'}",0.7314285714285714,0.7414285714285714,0.7442857142857143,0.7285714285714285,0.7471428571428571,0.7385714285714287,0.007284313590846844,3
1.6354210376739502,0.3000612557731692,0.05026111602783203,0.01891134058448106,100,10,entropy,"{'n_estimators': 100, 'max_depth': 10, 'criterion': 'entropy'}",0.7342857142857143,0.74,0.7414285714285714,0.73,0.7485714285714286,0.7388571428571429,0.006350317363112244,1
0.2867597579956055,0.043467831601269685,0.016671276092529295,0.006916697019986359,10,,entropy,"{'n_estimators': 10, 'max_depth': None, 'criterion': 'entropy'}",0.7085714285714285,0.7014285714285714,0.6942857142857143,0.6814285714285714,0.71,0.6991428571428571,0.01048224933019665,10
2.353411245346069,0.6208571540153676,0.04602923393249512,0.010597259662920596,100,,gini,"{'n_estimators': 100, 'max_depth': None, 'criterion': 'gini'}",0.7185714285714285,0.7285714285714285,0.72,0.6985714285714286,0.7428571428571429,0.7217142857142858,0.014439175735420879,7
0.1335282802581787,0.06460409916241734,0.01242842674255371,0.005094899906114536,10,3,entropy,"{'n_estimators': 10, 'max_depth': 3, 'criterion': 'entropy'}",0.72,0.7271428571428571,0.7414285714285714,0.7257142857142858,0.7442857142857143,0.7317142857142858,0.009450191662023578,6
2.6005598068237306,1.103476917767624,0.05172572135925293,0.011814432866872773,100,,entropy,"{'n_estimators': 100, 'max_depth': None, 'criterion': 'entropy'}",0.7257142857142858,0.72,0.7285714285714285,0.7,0.7314285714285714,0.7211428571428572,0.011226790116793443,8
1.2329617500305177,0.49824114334761443,0.03473367691040039,0.019484912002987083,50,,entropy,"{'n_estimators': 50, 'max_depth': None, 'criterion': 'entropy'}",0.7314285714285714,0.7157142857142857,0.7171428571428572,0.6928571428571428,0.73,0.7174285714285713,0.013862296537952234,9
0.18978939056396485,0.08201810823186738,0.013684797286987304,0.009017999137753857,10,10,gini,"{'n_estimators': 10, 'max_depth': 10, 'criterion': 'gini'}",0.7342857142857143,0.7314285714285714,0.74,0.7285714285714285,0.74,0.7348571428571429,0.004571428571428576,4
0.6907912254333496,0.16286435517282524,0.018816089630126952,0.002807558706312014,50,5,entropy,"{'n_estimators': 50, 'max_depth': 5, 'criterion': 'entropy'}",0.7328571428571429,0.7414285714285714,0.7457142857142857,0.7271428571428571,0.7471428571428571,0.7388571428571428,0.007687785169756403,2
